Localization表格,,,,,
Both,,,,,
ID,VariableName,VariableComment,Chinese,ChineseTraditional,English
40160,,,蓝-高能 符文 I,藍色 C 符文 I,Blue C Rune I
40161,,,蓝-高能 符文 II,藍色 C 符文 II,Blue C Rune II
40162,,,蓝-高能 符文 III,藍色 C 符文 III,Blue C Rune III
40163,,,蓝-高能 符文 IV,藍色 C 符文 IV,Blue C Rune IV
40164,,,蓝-高能 符文 V,藍色 C 符文 V,Blue C Rune V
40165,,,蓝-改造 符文 I,藍色 D 符文 I,Blue D Rune I
40166,,,蓝-改造 符文 II,藍色 D 符文 II,Blue D Rune II
40167,,,蓝-改造 符文 III,藍色 D 符文 III,Blue D Rune III
40168,,,蓝-改造 符文 IV,藍色 D 符文 IV,Blue D Rune IV
40169,,,蓝-改造 符文 V,藍色 D 符文 V,Blue D Rune V
40170,,,蓝-祝福 符文 I,藍色 E 符文 I,Blue E Rune I
40171,,,蓝-祝福 符文 II,藍色 E 符文 II,Blue E Rune II
40172,,,蓝-祝福 符文 III,藍色 E 符文 III,Blue E Rune III
40173,,,蓝-祝福 符文 IV,藍色 E 符文 IV,Blue E Rune IV
40174,,,蓝-祝福 符文 V,藍色 E 符文 V,Blue E Rune V
40175,,,绿-锋利符文 I,綠色 A 符文 I,Green A Rune I
40176,,,绿-锋利符文 II,綠色 A 符文 II,Green A Rune II
40177,,,绿-锋利符文 III,綠色 A 符文 III,Green A Rune III
40178,,,绿-锋利符文 IV,綠色 A 符文 IV,Green A Rune IV
40179,,,绿-锋利符文 V,綠色 A 符文 V,Green A Rune V
40180,,,绿-强攻 符文 I,綠色 B 符文 I,Green B Rune I
40181,,,绿-强攻 符文 II,綠色 B 符文 II,Green B Rune II
40182,,,绿-强攻 符文 III,綠色 B 符文 III,Green B Rune III
40183,,,绿-强攻 符文 IV,綠色 B 符文 IV,Green B Rune IV
40184,,,绿-强攻 符文 V,綠色 B 符文 V,Green B Rune V
40185,,,绿-高能 符文 I,綠色 C 符文 I,Green C Rune I
40186,,,绿-高能 符文 II,綠色 C 符文 II,Green C Rune II
40187,,,绿-高能 符文 III,綠色 C 符文 III,Green C Rune III
40188,,,绿-高能 符文 IV,綠色 C 符文 IV,Green C Rune IV
40189,,,绿-高能 符文 V,綠色 C 符文 V,Green C Rune V
40190,,,绿-改造 符文 I,綠色 D 符文 I,Green D Rune I
40191,,,绿-改造 符文 II,綠色 D 符文 II,Green D Rune II
40192,,,绿-改造 符文 III,綠色 D 符文 III,Green D Rune III
40193,,,绿-改造 符文 IV,綠色 D 符文 IV,Green D Rune IV
40194,,,绿-改造 符文 V,綠色 D 符文 V,Green D Rune V
40195,,,绿-祝福 符文 I,綠色 E 符文 I,Green E Rune I
40196,,,绿-祝福 符文 II,綠色 E 符文 II,Green E Rune II
40197,,,绿-祝福 符文 III,綠色 E 符文 III,Green E Rune III
40198,,,绿-祝福 符文 IV,綠色 E 符文 IV,Green E Rune IV
40199,,,绿-祝福 符文 V,綠色 E 符文 V,Green E Rune V
40200,,,紫-锋利符文 I,紫色 A 符文 I,Purple A Rune I
40201,,,紫-锋利符文 II,紫色 A 符文 II,Purple A Rune II
40202,,,紫-锋利符文 III,紫色 A 符文 III,Purple A Rune III
40203,,,紫-锋利符文 IV,紫色 A 符文 IV,Purple A Rune IV
40204,,,紫-锋利符文 V,紫色 A 符文 V,Purple A Rune V
40205,,,紫-强攻 符文 I,紫色 B 符文 I,Purple B Rune I
40206,,,紫-强攻 符文 II,紫色 B 符文 II,Purple B Rune II
40207,,,紫-强攻 符文 III,紫色 B 符文 III,Purple B Rune III
40208,,,紫-强攻 符文 IV,紫色 B 符文 IV,Purple B Rune IV
40209,,,紫-强攻 符文 V,紫色 B 符文 V,Purple B Rune V
40210,,,紫-高能 符文 I,紫色 C 符文 I,Purple C Rune I
40211,,,紫-高能 符文 II,紫色 C 符文 II,Purple C Rune II
40212,,,紫-高能 符文 III,紫色 C 符文 III,Purple C Rune III
40213,,,紫-高能 符文 IV,紫色 C 符文 IV,Purple C Rune IV
40214,,,紫-高能 符文 V,紫色 C 符文 V,Purple C Rune V
40215,,,紫-改造 符文 I,紫色 D 符文 I,Purple D Rune I
40216,,,紫-改造 符文 II,紫色 D 符文 II,Purple D Rune II
40217,,,紫-改造 符文 III,紫色 D 符文 III,Purple D Rune III
40218,,,紫-改造 符文 IV,紫色 D 符文 IV,Purple D Rune IV
40219,,,紫-改造 符文 V,紫色 D 符文 V,Purple D Rune V
40220,,,紫-祝福 符文 I,紫色 E 符文 I,Purple E Rune I
40221,,,紫-祝福 符文 II,紫色 E 符文 II,Purple E Rune II
40222,,,紫-祝福 符文 III,紫色 E 符文 III,Purple E Rune III
40223,,,紫-祝福 符文 IV,紫色 E 符文 IV,Purple E Rune IV
40224,,,紫-祝福 符文 V,紫色 E 符文 V,Purple E Rune V
40225,,,黄-锋利符文 I,黃色 A 符文 I,Yellow A Rune I
40226,,,黄-锋利符文 II,黃色 A 符文 II,Yellow A Rune II
40227,,,黄-锋利符文 III,黃色 A 符文 III,Yellow A Rune III
40228,,,黄-锋利符文 IV,黃色 A 符文 IV,Yellow A Rune IV
40229,,,黄-锋利符文 V,黃色 A 符文 V,Yellow A Rune V
40230,,,黄-强攻 符文 I,黃色 B 符文 I,Yellow B Rune I
40231,,,黄-强攻 符文 II,黃色 B 符文 II,Yellow B Rune II
40232,,,黄-强攻 符文 III,黃色 B 符文 III,Yellow B Rune III
40233,,,黄-强攻 符文 IV,黃色 B 符文 IV,Yellow B Rune IV
40234,,,黄-强攻 符文 V,黃色 B 符文 V,Yellow B Rune V
40235,,,黄-高能 符文 I,黃色 C 符文 I,Yellow C Rune I
40236,,,黄-高能 符文 II,黃色 C 符文 II,Yellow C Rune II
40237,,,黄-高能 符文 III,黃色 C 符文 III,Yellow C Rune III
40238,,,黄-高能 符文 IV,黃色 C 符文 IV,Yellow C Rune IV
40239,,,黄-高能 符文 V,黃色 C 符文 V,Yellow C Rune V
40240,,,黄-改造 符文 I,黃色 D 符文 I,Yellow D Rune I
40241,,,黄-改造 符文 II,黃色 D 符文 II,Yellow D Rune II
40242,,,黄-改造 符文 III,黃色 D 符文 III,Yellow D Rune III
40243,,,黄-改造 符文 IV,黃色 D 符文 IV,Yellow D Rune IV
40244,,,黄-改造 符文 V,黃色 D 符文 V,Yellow D Rune V
40245,,,黄-祝福 符文 I,黃色 E 符文 I,Yellow E Rune I
40246,,,黄-祝福 符文 II,黃色 E 符文 II,Yellow E Rune II
40247,,,黄-祝福 符文 III,黃色 E 符文 III,Yellow E Rune III
40248,,,黄-祝福 符文 IV,黃色 E 符文 IV,Yellow E Rune IV
40249,,,黄-祝福 符文 V,黃色 E 符文 V,Yellow E Rune V
40250,,,特惠佣兵,特惠傭兵,Guardian Special Offer
41000,,,通用货币,通用貨幣,Common currency
41007,,,使用后获得{0}点佣兵经验,使用後獲得{0}點傭兵經驗,Gain {0} points of pet experience after use
41008,,,增加佣兵经验，用于佣兵升级,增加傭兵經驗，用於傭兵升級,Increased pet experience for pet upgrades
41037,,,"怪物碰到后定身,只可触发一次","怪物碰到後定身,只可觸發一次","When the monster hits, it can only be triggered once"
41040,,,可以移除石墩,可以移除石墩,Stone piers can be removed
41043,,,"只能放在石墩上,攻击范围内的飞天怪物","只能放在石墩上,攻擊範圍內的飛天怪物","Can only be placed on the stone pier, attacking the range of the flying monster"
41046,,,"怪物碰到后触发造成单次伤害,触发后就销毁","怪物碰到後觸發造成單次傷害,觸發後就銷毀","When the monster encounters, it causes a single damage, and then it is destroyed"
41049,,,"怪物碰到后触发造成单次伤害,可多次触发","怪物碰到後觸發造成單次傷害,可多次觸發","Monster encounters trigger a single damage, can trigger many times"
41052,,,可以移除树木,可以移除樹木,You can remove trees
41055,,,打开后获得惊喜,打開後獲得驚喜,Open it and get a surprise
41056,,,用于移动防御塔,用於移動防禦塔,Used for mobile defense towers
41057,,,使用后获得{0}点防御塔经验,使用後獲得{0}點防禦塔經驗,Gain {0} tower experience after using it
41058,,,用于防御塔升级研究,用於防禦塔升級研究,Used for Tower Research
41059,,,增加防御塔经验，用于塔升级,增加防禦塔經驗，用於塔升級,Added defensive tower experience for tower upgrades
41063,,,完成日常任务获得，可用于兑换日常任务奖励,完成日常任務獲得，可用於兌換日常任務獎勵,"Complete daily quests, can be used to redeem daily task rewards"
41064,,,玩家等级提升,玩家等級提升,Player level up
41065,,,打开后可随机获得1张佣兵卡片或若干佣兵碎片,購買後隨機可獲得1張傭兵卡片或若干傭兵碎片,Gain 1 Guardian Card or Guardian Shards.
41066,,,打开后可获得随机防御塔图纸20张,購買後可獲得隨機防禦塔圖紙20張,Randomly Obtain 20 Tower Blueprints
41067,,,盲盒内佣兵卡片、佣兵碎片、防御塔图纸应有尽有，但只能获得1样道具哦！,盲盒內傭兵卡片、傭兵碎片、防禦塔圖紙應有盡有，但只能獲得1樣道具哦！,"Gain 1 item from Guardian Cards, Guardian Shards, or Tower Blueprint."
41068,,,使用后补充20点体力,使用後補充20點體力,Restores 20 stamina.
41069,,,使用后补充50点体力,使用後補充50點體力,Restores 50 stamina.
41070,,,XXXXX,XXXXX,XXXXX
41071,,,打开后获得1把1级锯子,購買後獲得1把1級鋸子,Gain a Saw I.
41072,,,打开后获得1把1级铲子,購買後獲得1把1級鏟子,Gain a Shovel I.
41073,,,购买后获得1张佣兵卡片,購買後獲得1張傭兵卡片,Gain a Guardian Card.
41074,,,购买后获得塔强化手册III*1,購買後獲得塔強化手冊III*1,Gain a Tower Codex III.
41075,,,购买后获得100点体力,購買後獲得100點體力,Restores 100 stamina.
41076,,,打开后获得500金币,購買後獲得500金幣,Gain 500 coins.
41077,,,打开后获得3500金币,購買後獲得3500金幣,"Gain 3,500 coins."
41078,,,打开后获得10000金币,購買後獲得10000金幣,"Gain 10,000 coins."
41079,,,打开后获得50000金币,購買後獲得50000金幣,"Gain 50,000 coins."
41080,,,打开后获得100000金币,購買後獲得100000金幣,"Gain 100,000 coins."
41081,,,打开后获得20体力，20000银币,購買後獲得20體力，20000銀幣,"Get 20 stamina, 20,000 silver coins."
41082,,,购买后获得2800金币，280000银币，2个铲子，2个锯子,購買後獲得2800金幣，280000銀幣，2個鏟子，2個鋸子,"Get 2,800 coins, 280,000 silver, 2 shovels, 2 saws."
41083,,,打开后随机获得1枚1级宝石,開啟後隨機獲得1枚1級寶石,Random Gem I on opening.
41084,,,打开后随机获得1枚2级宝石,開啟後隨機獲得1枚2級寶石,Random Gem II on opening.
41085,,,打开后随机获得1枚3级宝石,開啟後隨機獲得1枚3級寶石,Random Gem III on opening.
41086,,,打开后随机获得1枚4级宝石,開啟後隨機獲得1枚4級寶石,Random Gem IV on opening.
41087,,,打开后随机获得1枚5级宝石,開啟後隨機獲得1枚5級寶石,Random Gem V on opening.
41088,,,打开后随机获得1个佣兵卡片,開啟後隨機獲得1個傭兵卡片,Random Guardian Card on opening.
41089,,,用于游玩防线深林寻宝,用於遊玩防線深林尋寶,For Defense Line Forest Treasure Hunt.
41090,,,用于游玩防线遗迹寻宝,用於遊玩防線遺跡尋寶,For Defense Line Relic Treasure Hunt.
41091,,,用于挑战关卡的体力,用於挑戰關卡的體力,Energy for Fight
41092,,,可用于对应佣兵升星,可用於對應傭兵升星,Guardian Awakening Item
41093,,,可用于对应佣兵激活,可用於對應傭兵激活,Use for activating this Guardian
41094,,,在祈福中使用，增加泉水等级,在祈福中使用，增加泉水等級,Use to increase blessing level in the Fountain
41095,,,随机获得研究所防御塔图纸,隨機獲得研究所防禦塔圖紙,Randomly Obtain Tower Blueprints
41096,,,用于防线商城内购买物品,用於防綫商城内購買商品,Use to purchase goods in Fotress Store
41097,,,可用于丰碑符文镶嵌,可用於豐碑符文鑲嵌,Can be embedded in Monument Runes
50000,,,冰刃战士狼雅,冰刃戰士狼雅,Lanya - the Iceblade
50001,,,冰霜术士霜灵,冰霜術士霜靈,Aurora - the Frost Mage
50002,,,海豹突击队狼恩,海豹突擊隊狼恩,Wulfen - the Navy SEAL
50003,,,狼舞者玲儿,狼舞者玲兒,Ling'er - the Flamewaltz
50004,,,风弩埃尔文,弩衛埃爾文,Elwynn - the Verdant Ranger
50005,,,时空电师特斯洛,時空電師特斯洛,Tsloe - the Electromancer
50006,,,焰角弗雷明,焰角弗雷明,Flemming - the Inferno Horn
50007,,,引力学者羊顿,引力學者羊頓,Youngton - the Gravitationalist
50008,,,影牙爱德华,影牙愛德華,Edward - the Shadowfang
50009,,,终结者羊八百,終結者羊八百,Yang-800 - the Terminator
50010,,,白金刚洛奇,白金剛洛基,Loki - the Platinum
50011,,,丛林卫士杰森,叢林衛士傑森,Jason - the Jungle Guardian
50012,,,隐士忍者拉菲,隱士忍者拉斐,Rafael - the Hermit Ninja
50013,,,森林学者林奈,森林學者林奈,Linnea - the Forest Sage
50014,,,先知万加,先知萬嘉,"Manga, the Seer"
51000,,,A1型闪光弹,A1型閃光彈,M-A1 Flashbang
51001,,,暗影利爪,暗影利爪,Shadow Claw
51002,,,冰霜领域,冰霜領域,Frost Field
51003,,,冰霜增幅,冰霜增幅,Frost Amplification
51004,,,冰锥,冰錐,Ice Cone
51005,,,电流网,電流網,Electric Net
51006,,,电能增幅,電能增幅,Charge Boost
51007,,,弓弩强化,弓弩強化,Crossbow enhancement
51008,,,光谱效应,光譜效應,Spectrum Effect
51009,,,寒冰坠击,寒冰墜擊,Ice Comet
51010,,,火舞之击,火舞之擊,Fire Dance Strike
51011,,,火焰之心,火焰之心,Heart of Flame
51012,,,连环射击,連環射擊,Crossbowslinger
51013,,,烈焰和声,烈焰和聲,Harmony of Flames
51014,,,烈焰斩,烈焰斬,Flame Slash
51015,,,苹果,蘋果,Apple
51016,,,失重,失重,Weightlessness
51017,,,时空传送,時空傳送,Teleport
51018,,,霜刃滑行,霜刃滑行,Iceblade Surge
51019,,,霜刃强化,霜刃強化,Iceblade Strengthening
51020,,,突击步枪,突擊步槍,Assault Rifle
51021,,,卫士指令,衛士指令,Guardian's Decree
51022,,,霰弹枪,霰彈槍,Shotgun
51023,,,血之诱惑,血之誘惑,Blood Temptation
51024,,,炎狼之舞,炎狼之舞,Inferno Waltz
51025,,,炎舞虹镜,炎舞虹鏡,Flameburst Slam
51026,,,夜狼钩爪,夜狼鉤爪,Blood Temptation
51027,,,战术陷阱,戰術陷阱,Tactical Trap
51028,,,致残打击,致殘打擊,Crippling Strike
51029,,,终结者模式,終結者模式,Terminator Mode
51030,,,摆拳挥舞,擺拳揮舞,Swinging Fist
51031,,,撼地重锤,撼地重錘,Earthshaker Hammer
51032,,,臂斩火焰,臂斬火焰,Blazing Arm
51033,,,横扫,橫掃,Sweep
51034,,,旋风连斩,旋風連斬,Whirlwind Slash
51035,,,守卫之心,守衛之心,Guardian's Heart
51036,,,千鸟手里剑,千鳥手裡劍,Chidori Shuriken
51037,,,雷之呼吸,雷之呼吸,Breath of Thunder
51038,,,奥义: 理财,奧義: 理財,Finance Mastery
51039,,,药剂师,藥劑師,Alchemist
51040,,,点金术,點金術,Midas Potion
51041,,,强化药水,強化藥水,Enhanced Potion
51042,,,落雷,落雷,Thunderstrike
51043,,,超负荷,超負荷,Overcharge
51044,,,能量充盈,能量充盈,Energy Infusion
51045,,,A1型闪光弹 I,A1型閃光彈 I,M-A1 Flashbang I
51046,,,A1型闪光弹 II,A1型閃光彈 II,M-A1 Flashbang II
51047,,,A1型闪光弹 III,A1型閃光彈 III,M-A1 Flashbang III
51048,,,A1型闪光弹 IV,A1型閃光彈 IV,M-A1 Flashbang IV
51049,,,A1型闪光弹 V,A1型閃光彈 V,M-A1 Flashbang V
51050,,,暗影利爪 I,暗影利爪 I,Shadow Claw I
51051,,,暗影利爪 II,暗影利爪 II,Shadow Claw II
51052,,,暗影利爪 III,暗影利爪 III,Shadow Claw III
51053,,,暗影利爪 IV,暗影利爪 IV,Shadow Claw IV
51054,,,暗影利爪 V,暗影利爪 V,Shadow Claw V
51055,,,奥义: 理财 I,奧義: 理財 I,Finance Mastery I
51056,,,奥义: 理财 II,奧義: 理財 II,Finance Mastery II
51057,,,奥义: 理财 III,奧義: 理財 III,Finance Mastery III
51058,,,奥义: 理财 IV,奧義: 理財 IV,Finance Mastery IV
51059,,,奥义: 理财 V,奧義: 理財 V,Finance Mastery V
51060,,,摆拳挥舞 I,擺拳揮舞 I,Swinging Fist I
51061,,,摆拳挥舞 II,擺拳揮舞 II,Swinging Fist II
51062,,,摆拳挥舞 III,擺拳揮舞 III,Swinging Fist III
51063,,,摆拳挥舞 IV,擺拳揮舞 IV,Swinging Fist IV
51064,,,摆拳挥舞 V,擺拳揮舞 V,Swinging Fist V
51065,,,臂斩火焰 I,臂斬火焰 I,Blazing Arm I
51066,,,臂斩火焰 II,臂斬火焰 II,Blazing Arm II
51067,,,臂斩火焰 III,臂斬火焰 III,Blazing Arm III
51068,,,臂斩火焰 IV,臂斬火焰 IV,Blazing Arm IV
51069,,,臂斩火焰 V,臂斬火焰 V,Blazing Arm V
51070,,,冰霜领域 I,冰霜領域 I,Frost Field I
51071,,,冰霜领域 II,冰霜領域 II,Frost Field II
51072,,,冰霜领域 III,冰霜領域 III,Frost Field III
51073,,,冰霜领域 IV,冰霜領域 IV,Frost Field IV
51074,,,冰霜领域 V,冰霜領域 V,Frost Field V
51075,,,冰霜增幅 I,冰霜增幅 I,Frost Amplification I
51076,,,冰霜增幅 II,冰霜增幅 II,Frost Amplification II
51077,,,冰霜增幅 III,冰霜增幅 III,Frost Amplification III
51078,,,冰霜增幅 IV,冰霜增幅 IV,Frost Amplification IV
51079,,,冰霜增幅 V,冰霜增幅 V,Frost Amplification V
51080,,,冰锥 I,冰錐 I,Ice Cone I
51081,,,冰锥 II,冰錐 II,Ice Cone II
51082,,,冰锥 III,冰錐 III,Ice Cone III
51083,,,冰锥 IV,冰錐 IV,Ice Cone IV
51084,,,冰锥 V,冰錐 V,Ice Cone V
51085,,,超负荷 I,超負荷 I,Overcharge I
51086,,,超负荷 II,超負荷 II,Overcharge II
51087,,,超负荷 III,超負荷 III,Overcharge III
51088,,,超负荷 IV,超負荷 IV,Overcharge IV
51089,,,超负荷 V,超負荷 V,Overcharge V
51090,,,点金术 I,點金術 I,Midas Potion I
51091,,,点金术 II,點金術 II,Midas Potion II
51092,,,点金术 III,點金術 III,Midas Potion III
51093,,,点金术 IV,點金術 IV,Midas Potion IV
51094,,,点金术 V,點金術 V,Midas Potion V
51095,,,电流网 I,電流網 I,Electric Net I
51096,,,电流网 II,電流網 II,Electric Net II
51097,,,电流网 III,電流網 III,Electric Net III
51098,,,电流网 IV,電流網 IV,Electric Net IV
51099,,,电流网 V,電流網 V,Electric Net V
51100,,,电能增幅 I,電能增幅 I,Charge Boost I
51101,,,电能增幅 II,電能增幅 II,Charge Boost II
51102,,,电能增幅 III,電能增幅 III,Charge Boost III
51103,,,电能增幅 IV,電能增幅 IV,Charge Boost IV
51104,,,电能增幅 V,電能增幅 V,Charge Boost V
51105,,,弓箭手主动 IV,弓箭手主动 IV,Crossbowslinger IV
51106,,,弓箭手主动 V,弓箭手主动 V,Crossbowslinger V
51107,,,弓弩强化 I,弓弩強化 I,Crossbow Enhancement I
51108,,,弓弩强化 II,弓弩強化 II,Crossbow Enhancement II
51109,,,弓弩强化 III,弓弩強化 III,Crossbow Enhancement III
51110,,,弓弩强化 IV,弓弩強化 IV,Crossbow Enhancement IV
51111,,,弓弩强化 V,弓弩強化 V,Crossbow Enhancement V
51112,,,光谱效应 I,光譜效應 I,Spectrum Effect I
51113,,,光谱效应 II,光譜效應 II,Spectrum Effect II
51114,,,光谱效应 III,光譜效應 III,Spectrum Effect III
51115,,,光谱效应 IV,光譜效應 IV,Spectrum Effect IV
51116,,,光谱效应 V,光譜效應 V,Spectrum Effect V
51117,,,寒冰坠击 I,寒冰墜擊 I,Ice Comet I
51118,,,寒冰坠击 II,寒冰墜擊 II,Ice Comet II
51119,,,寒冰坠击 III,寒冰墜擊 III,Ice Comet III
51120,,,寒冰坠击 IV,寒冰墜擊 IV,Ice Comet IV
51121,,,寒冰坠击 V,寒冰墜擊 V,Ice Comet V
51122,,,撼地重锤 I,撼地重錘 I,Earthshaker Hammer I
51123,,,撼地重锤 II,撼地重錘 II,Earthshaker Hammer II
51124,,,撼地重锤 III,撼地重錘 III,Earthshaker Hammer III
51125,,,撼地重锤 IV,撼地重錘 IV,Earthshaker Hammer IV
51126,,,撼地重锤 V,撼地重錘 V,Earthshaker Hammer V
51127,,,横扫 I,橫掃 I,Sweep I
51128,,,横扫 II,橫掃 II,Sweep II
51129,,,横扫 III,橫掃 III,Sweep III
51130,,,横扫 IV,橫掃 IV,Sweep IV
51131,,,横扫 V,橫掃 V,Sweep V
51132,,,火舞之击 I,火舞之擊 I,Fire Dance Strike I
51133,,,火舞之击 II,火舞之擊 II,Fire Dance Strike II
51134,,,火舞之击 III,火舞之擊 III,Fire Dance Strike III
51135,,,火舞之击 IV,火舞之擊 IV,Fire Dance Strike IV
51136,,,火舞之击 V,火舞之擊 V,Fire Dance Strike V
51137,,,火焰之心 I,火焰之心 I,Heart of Flame I
51138,,,火焰之心 II,火焰之心 II,Heart of Flame II
51139,,,火焰之心 III,火焰之心 III,Heart of Flame III
51140,,,火焰之心 IV,火焰之心 IV,Heart of Flame IV
51141,,,火焰之心 V,火焰之心 V,Heart of Flame V
51142,,,雷之呼吸 I,雷之呼吸 I,Breath of Thunder I
51143,,,雷之呼吸 II,雷之呼吸 II,Breath of Thunder II
51144,,,雷之呼吸 III,雷之呼吸 III,Breath of Thunder III
51145,,,雷之呼吸 IV,雷之呼吸 IV,Breath of Thunder IV
51146,,,雷之呼吸 V,雷之呼吸 V,Breath of Thunder V
51147,,,连环射击 I,連環射擊 I,Crossbowslinger I
51148,,,连环射击 II,連環射擊 II,Crossbowslinger II
51149,,,连环射击 III,連環射擊 III,Crossbowslinger III
51150,,,连环射击 IV,連環射擊 IV,Crossbowslinger IV
51151,,,连环射击 V,連環射擊 V,Crossbowslinger V
51152,,,烈焰和声 I,烈焰和聲 I,Harmony of Flames I
51153,,,烈焰和声 II,烈焰和聲 II,Harmony of Flames II
51154,,,烈焰和声 III,烈焰和聲 III,Harmony of Flames III
51155,,,烈焰和声 IV,烈焰和聲 IV,Harmony of Flames IV
51156,,,烈焰和声 V,烈焰和聲 V,Harmony of Flames V
51157,,,烈焰斩 I,烈焰斬 I,Flame Slash I
51158,,,烈焰斩 II,烈焰斬 II,Flame Slash II
51159,,,烈焰斩 III,烈焰斬 III,Flame Slash III
51160,,,烈焰斩 IV,烈焰斬 IV,Flame Slash IV
51161,,,烈焰斩 V,烈焰斬 V,Flame Slash V
51162,,,落雷 I,落雷 I,Thunderstrike I
51163,,,落雷 II,落雷 II,Thunderstrike II
51164,,,落雷 III,落雷 III,Thunderstrike III
51165,,,落雷 IV,落雷 IV,Thunderstrike IV
51166,,,落雷 V,落雷 V,Thunderstrike V
51167,,,能量充盈 I,能量充盈 I,Energy Infusion I
51168,,,能量充盈 II,能量充盈 II,Energy Infusion II
51169,,,能量充盈 III,能量充盈 III,Energy Infusion III
51170,,,能量充盈 IV,能量充盈 IV,Energy Infusion IV
51171,,,能量充盈 V,能量充盈 V,Energy Infusion V
51172,,,苹果 I,蘋果 I,Apple I
51173,,,苹果 II,蘋果 II,Apple II
51174,,,苹果 III,蘋果 III,Apple III
51175,,,苹果 IV,蘋果 IV,Apple IV
51176,,,苹果 V,蘋果 V,Apple V
51177,,,千鸟手里剑 I,千鳥手裏劍 I,Chidori Shuriken I
51178,,,千鸟手里剑 II,千鳥手裏劍 II,Chidori Shuriken II
51179,,,千鸟手里剑 III,千鳥手裏劍 III,Chidori Shuriken III
51180,,,千鸟手里剑 IV,千鳥手裏劍 IV,Chidori Shuriken IV
51181,,,千鸟手里剑 V,千鳥手裏劍 V,Chidori Shuriken V
51182,,,强化药水 I,強化藥水 I,Enhanced Potion I
51183,,,强化药水 II,強化藥水 II,Enhanced Potion II
51184,,,强化药水 III,強化藥水 III,Enhanced Potion III
51185,,,强化药水 IV,強化藥水 IV,Enhanced Potion IV
51186,,,强化药水 V,強化藥水 V,Enhanced Potion V
51187,,,失重 I,失重 I,Weightlessness I
51188,,,失重 II,失重 II,Weightlessness II
51189,,,失重 III,失重 III,Weightlessness III
51190,,,失重 IV,失重 IV,Weightlessness IV
51191,,,失重 V,失重 V,Weightlessness V
51192,,,时空传送 I,時空傳送 I,Teleport I
51193,,,时空传送 II,時空傳送 II,Teleport II
51194,,,时空传送 III,時空傳送 III,Teleport III
51195,,,时空传送 IV,時空傳送 IV,Teleport IV
51196,,,时空传送 V,時空傳送 V,Teleport V
51197,,,守卫之心 I,守衛之心 I,Guardian's Heart I
51198,,,守卫之心 II,守衛之心 II,Guardian's Heart II
51199,,,守卫之心 III,守衛之心 III,Guardian's Heart III
51200,,,守卫之心 IV,守衛之心 IV,Guardian's Heart IV
51201,,,守卫之心 V,守衛之心 V,Guardian's Heart V
51202,,,霜刃滑行 I,霜刃滑行 I,Iceblade Surge I
51203,,,霜刃滑行 II,霜刃滑行 II,Iceblade Surge II
51204,,,霜刃滑行 III,霜刃滑行 III,Iceblade Surge III
51205,,,霜刃滑行 IV,霜刃滑行 IV,Iceblade Surge IV
51206,,,霜刃滑行 V,霜刃滑行 V,Iceblade Surge V
51207,,,霜刃强化 I,霜刃強化 I,Iceblade Strengthening I
51208,,,霜刃强化 II,霜刃強化 II,Iceblade Strengthening II
51209,,,霜刃强化 III,霜刃強化 III,Iceblade Strengthening III
51210,,,霜刃强化 IV,霜刃強化 IV,Iceblade Strengthening IV
51211,,,霜刃强化 V,霜刃強化 V,Iceblade Strengthening V
51212,,,突击步枪 I,突擊步槍 I,Assault Rifle I
51213,,,突击步枪 II,突擊步槍 II,Assault Rifle II
51214,,,突击步枪 III,突擊步槍 III,Assault Rifle III
51215,,,突击步枪 IV,突擊步槍 IV,Assault Rifle IV
51216,,,突击步枪 V,突擊步槍 V,Assault Rifle V
51217,,,卫士指令 I,衛士指令 I,Guardian's Decree I
51218,,,卫士指令 II,衛士指令 II,Guardian's Decree II
51219,,,卫士指令 III,衛士指令 III,Guardian's Decree III
51220,,,卫士指令 IV,衛士指令 IV,Guardian's Decree IV
51221,,,卫士指令 V,衛士指令 V,Guardian's Decree V
51222,,,霰弹枪 I,霰彈槍 I,Shotgun I
51223,,,霰弹枪 II,霰彈槍 II,Shotgun II
51224,,,霰弹枪 III,霰彈槍 III,Shotgun III
51225,,,霰弹枪 IV,霰彈槍 IV,Shotgun IV
51226,,,霰弹枪 V,霰彈槍 V,Shotgun V
51227,,,旋风连斩 I,旋風連斬 I,Whirlwind Slash I
51228,,,旋风连斩 II,旋風連斬 II,Whirlwind Slash II
51229,,,旋风连斩 III,旋風連斬 III,Whirlwind Slash III
51230,,,旋风连斩 IV,旋風連斬 IV,Whirlwind Slash IV
51231,,,旋风连斩 V,旋風連斬 V,Whirlwind Slash V
51232,,,血之诱惑 I,血之誘惑 I,Blood Temptation I
51233,,,血之诱惑 II,血之誘惑 II,Blood Temptation II
51234,,,血之诱惑 III,血之誘惑 III,Blood Temptation III
51235,,,血之诱惑 IV,血之誘惑 IV,Blood Temptation IV
51236,,,血之诱惑 V,血之誘惑 V,Blood Temptation V
51237,,,炎狼之舞 I,炎狼之舞 I,Inferno Waltz I
51238,,,炎狼之舞 II,炎狼之舞 II,Inferno Waltz II
51239,,,炎狼之舞 III,炎狼之舞 III,Inferno Waltz III
51240,,,炎狼之舞 IV,炎狼之舞 IV,Inferno Waltz IV
51241,,,炎狼之舞 V,炎狼之舞 V,Inferno Waltz V
51242,,,炎舞虹镜 I,炎舞虹鏡 I,Flameburst Slam I
